### 01100	Metabolic pathways
nosce_4242_1:NCER_101400	K00999
nosce_4242_1:NCER_100373	K01920
nosce_4242_1:NCER_102135	K02155
nosce_4242_1:NCER_101022	K03022
nosce_4242_1:NCER_102274	K00721
nosce_4242_1:NCER_100278	K00697
nosce_4242_1:NCER_101185	K05288
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_100663	K00963
nosce_4242_1:NCER_101294	K02145
nosce_4242_1:NCER_100401	K03012
nosce_4242_1:NCER_101923	K17900
nosce_4242_1:NCER_102597	K01194
nosce_4242_1:NCER_101472	K02146
nosce_4242_1:NCER_100738	K00021
nosce_4242_1:NCER_101243	K03011
nosce_4242_1:NCER_101104	K00942
nosce_4242_1:NCER_100800	K00654
nosce_4242_1:NCER_100585	K03025
nosce_4242_1:NCER_102057	K00968
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_102312	K03007
nosce_4242_1:NCER_100321	K00789
nosce_4242_1:NCER_101930	K15728
nosce_4242_1:NCER_100660	K00966
nosce_4242_1:NCER_102232	K03013
nosce_4242_1:NCER_100184	K02324
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_101404	K03857
nosce_4242_1:NCER_101672	K10808
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_100915	K05283
nosce_4242_1:NCER_101329	K00011
nosce_4242_1:NCER_102131	K13513
nosce_4242_1:NCER_102049	K02147
nosce_4242_1:NCER_101200	K02155
nosce_4242_1:NCER_101035	K02154
nosce_4242_1:NCER_100120	K02320
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_102160	K01885
nosce_4242_1:NCER_101036	K00869
nosce_4242_1:NCER_100983	K03010
nosce_4242_1:NCER_102294	K00943
nosce_4242_1:NCER_100735	K00820
nosce_4242_1:NCER_101494	K02151
nosce_4242_1:NCER_101901	K01057
nosce_4242_1:NCER_101234	K01489
nosce_4242_1:NCER_100462	K00981
nosce_4242_1:NCER_100052	K00036
nosce_4242_1:NCER_100619	K01886
nosce_4242_1:NCER_101309	K00940
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_100398	K04487
nosce_4242_1:NCER_101910	K00787
nosce_4242_1:NCER_100987	K04708
nosce_4242_1:NCER_101019	K02684
nosce_4242_1:NCER_100976	K10807
nosce_4242_1:NCER_102276	K14156
nosce_4242_1:NCER_101402	K01937
nosce_4242_1:NCER_101277	K03008
nosce_4242_1:NCER_100631	K03002
