### 01100	Metabolic pathways
encin_5517_1:Eint_080240	K03014
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_081800	K00036
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_110720	K00995
encin_5517_1:Eint_111290	K03017
encin_5517_1:Eint_060570	K00939
encin_5517_1:Eint_060090	K03661
encin_5517_1:Eint_010910	K00999
encin_5517_1:Eint_080570	K02684
encin_5517_1:Eint_090050	K05283
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_051310	K00981
encin_5517_1:Eint_010610	K00876
encin_5517_1:Eint_040600	K17900
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_111170	K02145
encin_5517_1:Eint_050390	K02150
encin_5517_1:Eint_100860	K10807
encin_5517_1:Eint_011380	K00287
encin_5517_1:Eint_080220	K03434
encin_5517_1:Eint_051260	K02685
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_021170	K01885
encin_5517_1:Eint_100060	K02149
encin_5517_1:Eint_091050	K05290
encin_5517_1:Eint_070020	K03018
encin_5517_1:Eint_030030	K14156
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_101560	K00505
encin_5517_1:Eint_081340	K04710
encin_5517_1:Eint_101740	K11142
encin_5517_1:Eint_100450	K01641
encin_5517_1:Eint_011150	K00942
encin_5517_1:Eint_051030	K02320
encin_5517_1:Eint_021330	K01194
encin_5517_1:Eint_110190	K03021
encin_5517_1:Eint_030240	K00889
encin_5517_1:Eint_100850	K01897
encin_5517_1:Eint_050260	K01520
encin_5517_1:Eint_081490	K02146
encin_5517_1:Eint_030180	K03006
encin_5517_1:Eint_100900	K18532
encin_5517_1:Eint_071310	K02155
encin_5517_1:Eint_010700	K00697
encin_5517_1:Eint_031020	K02155
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_060230	K03007
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_100250	K11155
encin_5517_1:Eint_050290	K01895
encin_5517_1:Eint_111670	K04487
encin_5517_1:Eint_100190	K03010
encin_5517_1:Eint_110120	K00859
encin_5517_1:Eint_020120	K15728
encin_5517_1:Eint_051290	K18592
encin_5517_1:Eint_070910	K03013
encin_5517_1:Eint_091820	K02154
encin_5517_1:Eint_110740	K00967
encin_5517_1:Eint_091110	K07542
encin_5517_1:Eint_101410	K01886
encin_5517_1:Eint_060350	K01520
encin_5517_1:Eint_060520	K03011
encin_5517_1:Eint_070780	K03016
encin_5517_1:Eint_030200	K02151
encin_5517_1:Eint_041040	K00721
encin_5517_1:Eint_030250	K15779
encin_5517_1:Eint_071240	K00820
encin_5517_1:Eint_050880	K00033
encin_5517_1:Eint_071010	K00858
encin_5517_1:Eint_010630	K00857
encin_5517_1:Eint_020800	K00654
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_020150	K01823
encin_5517_1:Eint_010060	K00600
encin_5517_1:Eint_100985	K03009
encin_5517_1:Eint_061500	K00940
encin_5517_1:Eint_091800	K00869
encin_5517_1:Eint_030360	K03002
encin_5517_1:Eint_030410	K02148
encin_5517_1:Eint_031140	K03859
encin_5517_1:Eint_080590	K03022
encin_5517_1:Eint_111060	K01115
encin_5517_1:Eint_051620	K17497
encin_5517_1:Eint_010040	K00287
encin_5517_1:Eint_091510	K03857
encin_5517_1:Eint_011370	K00560
encin_5517_1:Eint_031160	K00945
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_050310	K02325
encin_5517_1:Eint_071720	K03015
encin_5517_1:Eint_041390	K02999
encin_5517_1:Eint_030400	K03019
encin_5517_1:Eint_110750	K01937
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_010050	K00560
encin_5517_1:Eint_041160	K01519
encin_5517_1:Eint_101160	K02324
encin_5517_1:Eint_010880	K00011
encin_5517_1:Eint_090440	K02327
encin_5517_1:Eint_080720	K03012
encin_5517_1:Eint_060870	K07513
encin_5517_1:Eint_030170	K00963
encin_5517_1:Eint_050230	K17497
encin_5517_1:Eint_050750	K00654
encin_5517_1:Eint_050250	K03008
encin_5517_1:Eint_041200	K00943
encin_5517_1:Eint_110330	K01937
encin_5517_1:Eint_060410	K01597
encin_5517_1:Eint_101690	K00021
encin_5517_1:Eint_010480	K03027
encin_5517_1:Eint_110300	K00888
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_100150	K03025
encin_5517_1:Eint_081320	K03000
encin_5517_1:Eint_110950	K04708
encin_5517_1:Eint_040680	K01057
encin_5517_1:Eint_011360	K00600
encin_5517_1:Eint_110560	K00966
encin_5517_1:Eint_101020	K02321
encin_5517_1:Eint_111710	K00787
encin_5517_1:Eint_110440	K03020
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_100980	K02147
encin_5517_1:Eint_050890	K01519
encin_5517_1:Eint_080170	K02144
encin_5517_1:Eint_060640	K10808

### 01110	Biosynthesis of secondary metabolites
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_050290	K01895
encin_5517_1:Eint_020120	K15728
encin_5517_1:Eint_100450	K01641
encin_5517_1:Eint_051490	K10703
encin_5517_1:Eint_100900	K18532
encin_5517_1:Eint_021170	K01885
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_101560	K00505
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_060570	K00939
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_051310	K00981
encin_5517_1:Eint_100820	K00111
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_081800	K00036
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_040680	K01057
encin_5517_1:Eint_011360	K00600
encin_5517_1:Eint_110560	K00966
encin_5517_1:Eint_111710	K00787
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_091920	K11778
encin_5517_1:Eint_060870	K07513
encin_5517_1:Eint_050230	K17497
encin_5517_1:Eint_050240	K00006
encin_5517_1:Eint_101690	K00021
encin_5517_1:Eint_060410	K01597
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_010060	K00600
encin_5517_1:Eint_020150	K01823
encin_5517_1:Eint_061500	K00940
encin_5517_1:Eint_091800	K00869
encin_5517_1:Eint_111060	K01115
encin_5517_1:Eint_051620	K17497
encin_5517_1:Eint_050880	K00033
encin_5517_1:Eint_030250	K15779

### 01120	Microbial metabolism in diverse environments
encin_5517_1:Eint_050290	K01895
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_081800	K00036
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_040680	K01057
encin_5517_1:Eint_011360	K00600
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_060870	K07513
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_010060	K00600
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_050880	K00033
encin_5517_1:Eint_030250	K15779

### 01200	Carbon metabolism
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_050290	K01895
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_081800	K00036
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_040680	K01057
encin_5517_1:Eint_011360	K00600
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_010060	K00600
encin_5517_1:Eint_050880	K00033

### 01210	2-Oxocarboxylic acid metabolism

### 01212	Fatty acid metabolism
encin_5517_1:Eint_100850	K01897
encin_5517_1:Eint_051490	K10703
encin_5517_1:Eint_060870	K07513

### 01230	Biosynthesis of amino acids
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_011360	K00600
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_010060	K00600

### 01220	Degradation of aromatic compounds

### 00010	Glycolysis / Gluconeogenesis
encin_5517_1:Eint_030250	K15779
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_101000	K15633
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_050300	K00927
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_090600	K00873
encin_5517_1:Eint_050290	K01895

### 00020	Citrate cycle (TCA cycle)
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_041140	K00162

### 00030	Pentose phosphate pathway
encin_5517_1:Eint_081800	K00036
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_050670	K01810
encin_5517_1:Eint_100110	K01807
encin_5517_1:Eint_030250	K15779
encin_5517_1:Eint_050880	K00033
encin_5517_1:Eint_060020	K00615
encin_5517_1:Eint_060970	K01783
encin_5517_1:Eint_040680	K01057
encin_5517_1:Eint_010110	K01623

### 00040	Pentose and glucuronate interconversions
encin_5517_1:Eint_010880	K00011
encin_5517_1:Eint_030170	K00963
encin_5517_1:Eint_060970	K01783

### 00051	Fructose and mannose metabolism
encin_5517_1:Eint_051620	K17497
encin_5517_1:Eint_010110	K01623
encin_5517_1:Eint_110560	K00966
encin_5517_1:Eint_050230	K17497
encin_5517_1:Eint_110100	K01803
encin_5517_1:Eint_010880	K00011
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_111430	K00844

### 00052	Galactose metabolism
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_030590	K00850
