### 01100	Metabolic pathways
sacce:4439	K11204
sacce:23	K17450
sacce:2082	K01697
sacce:4399	K01689
sacce:2239	K00844
sacce:2699	K01939
sacce:5020	K01638
sacce:1270	K13953
sacce:3576	K04709
sacce:6477	K01012
sacce:3648	K01493
sacce:6440	K12669
sacce:4533	K00850
sacce:5877	K01465
sacce:2338	K01952
sacce:208	K06116
sacce:5220	K00418
sacce:101	K00654
sacce:401	K01057
sacce:2701	K05536
sacce:5179	K00262
sacce:5236	K00560
sacce:4901	K00611
sacce:5522	K00236
sacce:2973	K00844
sacce:2184	K03861
sacce:5363	K00858
sacce:4164	K03025
sacce:5518	K02141
sacce:452	K04487
sacce:5788	K01792
sacce:546	K00820
sacce:253	K07432
sacce:2673	K01784
sacce:6318	K18278
sacce:5411	K06125
sacce:3608	K01895
sacce:661	K00128
sacce:3574	K00290
sacce:5939	K01915
sacce:4050	K02321
sacce:3267	K02137
sacce:5789	K00999
sacce:72	K03014
sacce:1795	K03013
sacce:5519	K00750
sacce:6280	K09827
sacce:6619	K00008
sacce:437	K02140
sacce:4314	K00077
sacce:3922	K00844
sacce:2989	K00294
sacce:482	K01452
sacce:2304	K01057
sacce:3044	K01183
sacce:6177	K01638
sacce:4373	K11788
sacce:5082	K00162
sacce:3775	K00547
sacce:3762	K16055
sacce:5061	K07542
sacce:1346	K01689
sacce:4428	K00003
sacce:2732	K01834
sacce:5282	K00134
sacce:4021	K02269
sacce:469	K15371
sacce:2402	K17743
sacce:5430	K13954
sacce:4899	K03011
sacce:2130	K00939
sacce:5577	K02155
sacce:1919	K00026
sacce:2721	K18550
sacce:3141	K00030
sacce:3216	K05533
sacce:1055	K03026
sacce:345	K00128
sacce:4816	K00693
sacce:1295	K01193
sacce:5483	K00236
sacce:5593	K00606
sacce:6114	K05294
sacce:2833	K01182
sacce:165	K01626
sacce:4619	K13953
sacce:133	K00728
sacce:2777	K03644
sacce:723	K00641
sacce:2414	K02154
sacce:6053	K01705
sacce:1878	K00873
sacce:2298	K03146
sacce:4122	K00833
sacce:6258	K00033
sacce:1853	K00804
sacce:5503	K01613
sacce:4728	K01647
sacce:2022	K12691
sacce:5106	K10807
sacce:1003	K01452
sacce:1760	K01739
sacce:4731	K00817
sacce:727	K17989
sacce:1160	K01183
sacce:3769	K05286
sacce:6077	K01809
sacce:3671	K00697
sacce:2867	K00128
sacce:6688	K01810
sacce:2411	K01251
sacce:2132	K00412
sacce:967	K00787
sacce:3324	K01772
sacce:1677	K12670
sacce:6281	K02263
sacce:6658	K11121
sacce:1284	K14263
sacce:5446	K00728
sacce:5198	K00287
sacce:1237	K01182
sacce:142	K00021
sacce:2405	K01476
sacce:6666	K07541
sacce:6536	K01897
sacce:6497	K00949
sacce:2773	K00844
sacce:2860	K02134
sacce:136	K00147
sacce:1384	K02132
sacce:1632	K01652
sacce:5053	K01835
sacce:3359	K02269
sacce:5358	K07748
sacce:1006	K00547
sacce:2021	K12732
sacce:394	K04708
sacce:4872	K00802
sacce:2092	K00654
sacce:4261	K05530
sacce:3246	K01078
sacce:3006	K02332
sacce:5527	K00728
sacce:4042	K01958
sacce:6273	K01739
