### 01100	Metabolic pathways
enccu_2934_1:ECU11_0450	K00888
enccu_2934_1:ECU10_1690	K01689
enccu_2934_1:ECU07_0960	K03013
enccu_2934_1:ECU10_1770i	K11142
enccu_2934_1:ECU03_0280	K00963
enccu_2934_1:ECU02_0230	K01823
enccu_2934_1:ECU06_0600	K03011
enccu_2934_1:ECU01_0180	K00560
enccu_2934_1:ECU01_0800	K00697
enccu_2934_1:ECU03_0330	K00889
enccu_2934_1:ECU07_1350	K02155
enccu_2934_1:ECU06_0430	K01520
enccu_2934_1:ECU06_1040	K01783
enccu_2934_1:ECU03_0440	K03002
enccu_2934_1:ECU04_0660	K17900
enccu_2934_1:ECU03_0305	K02151
enccu_2934_1:ECU10_0510	K01641
enccu_2934_1:ECU02_0200	K15728
enccu_2934_1:ECU09_1790	K02154
enccu_2934_1:ECU10_1060	K15633
enccu_2934_1:ECU11_1070	K04708
enccu_2934_1:ECU05_0330	K02325
enccu_2934_1:ECU09_0640	K00873
enccu_2934_1:ECU02_0860	K00654
enccu_2934_1:ECU08_1520	K02146
enccu_2934_1:ECU09_0430	K02327
enccu_2934_1:ECU07_0800	K00134
enccu_2934_1:ECU02_1370	K01194
enccu_2934_1:ECU09_0560	K07542
enccu_2934_1:ECU03_1270	K00945
enccu_2934_1:ECU05_0990	K02320
enccu_2934_1:ECU11_1810	K00787
enccu_2934_1:ECU04_1220	K00943
enccu_2934_1:ECU08_0765	K03012
enccu_2934_1:ECU01_1220	K00942
enccu_2934_1:ECU07_1750	K03015
enccu_2934_1:ECU08_0090	K00560
enccu_2934_1:ECU06_0490	K01597
enccu_2934_1:ECU11_1180	K01115
enccu_2934_1:ECU08_1330	K03000
enccu_2934_1:ECU08_1850	K00036
enccu_2934_1:ECU03_0340	K15779
enccu_2934_1:ECU01_0190	K00600
enccu_2934_1:ECU04_1400	K02999
enccu_2934_1:ECU10_0210	K03025
enccu_2934_1:ECU07_1050	K00858
enccu_2934_1:ECU06_1530	K00940
enccu_2934_1:ECU10_1720	K00021
enccu_2934_1:ECU03_0500	K02148
enccu_2934_1:ECU06_0940	K07513
enccu_2934_1:ECU07_1280	K00820
enccu_2934_1:ECU09_1040	K00161
enccu_2934_1:ECU09_1780	K00869
enccu_2934_1:ECU03_0290	K03006
enccu_2934_1:ECU09_1070	K05290
enccu_2934_1:ECU01_1430	K00560
enccu_2934_1:ECU01_1000	K00999
enccu_2934_1:ECU05_0650	K01810
enccu_2934_1:ECU08_0250	K02144
enccu_2934_1:ECU10_0920	K10807
enccu_2934_1:ECU09_1210	K03857
enccu_2934_1:ECU05_1240	K18592
enccu_2934_1:ECU04_0730	K01057
enccu_2934_1:ECU10_1210	K02324
enccu_2934_1:ECU11_0590	K03020
enccu_2934_1:ECU07_0090	K03018
enccu_2934_1:ECU11_1400	K03017
enccu_2934_1:ECU11_0880	K01937
enccu_2934_1:ECU05_0405	K02150
enccu_2934_1:ECU05_1210	K02685
enccu_2934_1:ECU10_0960	K18532
enccu_2934_1:ECU03_1120	K02155
enccu_2934_1:ECU10_0890	K01897
enccu_2934_1:ECU05_0310	K01895
enccu_2934_1:ECU05_1250	K00981
enccu_2934_1:ECU01_1450	K00287
enccu_2934_1:ECU02_1210	K01885
enccu_2934_1:ECU08_0080	K00287
enccu_2934_1:ECU05_0275	K03008
enccu_2934_1:ECU04_1160	K00162
enccu_2934_1:ECU01_0600	K03027
enccu_2934_1:ECU05_0260	K17497
enccu_2934_1:ECU11_1770	K04487
enccu_2934_1:ECU01_1420	K00600
enccu_2934_1:ECU11_0850	K00995
enccu_2934_1:ECU06_0120	K00615
enccu_2934_1:ECU03_0490	K03019
enccu_2934_1:ECU10_0910	K01897
enccu_2934_1:ECU08_0300	K03434
enccu_2934_1:ECU01_0740i	K00857
enccu_2934_1:ECU08_0320	K03014
enccu_2934_1:ECU06_0730	K10808
enccu_2934_1:ECU10_0250	K03010
enccu_2934_1:ECU01_0170	K00287
enccu_2934_1:ECU10_1590	K00968
enccu_2934_1:ECU03_0680	K00850
enccu_2934_1:ECU11_0370	K03021
enccu_2934_1:ECU11_0230	K01803
enccu_2934_1:ECU01_0970	K00011
enccu_2934_1:ECU11_1540	K00844
enccu_2934_1:ECU03_1250	K03859
enccu_2934_1:ECU11_0870	K00967
enccu_2934_1:ECU04_1060	K00721
enccu_2934_1:ECU11_0690	K00966
enccu_2934_1:ECU08_0650	K03022
enccu_2934_1:ECU06_0320	K03007
enccu_2934_1:ECU06_0190	K03661
enccu_2934_1:ECU07_0840	K03016
enccu_2934_1:ECU10_0140	K02149
enccu_2934_1:ECU04_1180	K01519
enccu_2934_1:ECU10_1080	K02321
enccu_2934_1:ECU10_0300	K11155
enccu_2934_1:ECU11_0480	K01937
enccu_2934_1:ECU10_0180	K01807
enccu_2934_1:ECU11_0300	K00859
enccu_2934_1:ECU01_0240	K01623
enccu_2934_1:ECU10_1040	K02147
enccu_2934_1:ECU10_1460	K01886
enccu_2934_1:ECU06_0650	K00939
enccu_2934_1:ECU05_0860	K00033
enccu_2934_1:ECU11_1280i	K02145
enccu_2934_1:ECU09_0770	K02328
enccu_2934_1:ECU08_0630	K02684
enccu_2934_1:ECU05_0730	K00654
enccu_2934_1:ECU05_0320	K00927

### 01110	Biosynthesis of secondary metabolites
enccu_2934_1:ECU11_1810	K00787
enccu_2934_1:ECU02_0200	K15728
enccu_2934_1:ECU09_0640	K00873
enccu_2934_1:ECU10_1060	K15633
enccu_2934_1:ECU07_0800	K00134
enccu_2934_1:ECU05_0270	K00006
enccu_2934_1:ECU06_1040	K01783
enccu_2934_1:ECU10_0510	K01641
enccu_2934_1:ECU10_1690	K01689
enccu_2934_1:ECU10_0870	K00111
enccu_2934_1:ECU02_0230	K01823
enccu_2934_1:ECU09_1870	K11778
enccu_2934_1:ECU05_0650	K01810
enccu_2934_1:ECU10_1720	K00021
enccu_2934_1:ECU06_1530	K00940
enccu_2934_1:ECU06_0940	K07513
enccu_2934_1:ECU09_1040	K00161
enccu_2934_1:ECU09_1780	K00869
enccu_2934_1:ECU08_1850	K00036
enccu_2934_1:ECU03_0340	K15779
enccu_2934_1:ECU01_0190	K00600
enccu_2934_1:ECU11_1180	K01115
enccu_2934_1:ECU06_0490	K01597
enccu_2934_1:ECU04_1160	K00162
enccu_2934_1:ECU01_1420	K00600
enccu_2934_1:ECU05_0260	K17497
enccu_2934_1:ECU06_0120	K00615
enccu_2934_1:ECU05_1250	K00981
enccu_2934_1:ECU05_1430	K10703
enccu_2934_1:ECU02_1210	K01885
enccu_2934_1:ECU10_0960	K18532
enccu_2934_1:ECU05_0310	K01895
enccu_2934_1:ECU04_0730	K01057
enccu_2934_1:ECU06_0650	K00939
enccu_2934_1:ECU01_0240	K01623
enccu_2934_1:ECU05_0860	K00033
enccu_2934_1:ECU05_0320	K00927
enccu_2934_1:ECU11_0690	K00966
enccu_2934_1:ECU10_0180	K01807
enccu_2934_1:ECU11_0230	K01803
enccu_2934_1:ECU03_0680	K00850
enccu_2934_1:ECU11_1540	K00844

### 01120	Microbial metabolism in diverse environments
enccu_2934_1:ECU10_1690	K01689
enccu_2934_1:ECU06_1040	K01783
enccu_2934_1:ECU07_0800	K00134
enccu_2934_1:ECU09_0640	K00873
enccu_2934_1:ECU10_1060	K15633
enccu_2934_1:ECU01_0190	K00600
enccu_2934_1:ECU08_1850	K00036
enccu_2934_1:ECU03_0340	K15779
enccu_2934_1:ECU09_1040	K00161
enccu_2934_1:ECU06_0940	K07513
enccu_2934_1:ECU05_0650	K01810
enccu_2934_1:ECU04_0730	K01057
enccu_2934_1:ECU05_0310	K01895
enccu_2934_1:ECU06_0120	K00615
enccu_2934_1:ECU01_1420	K00600
enccu_2934_1:ECU04_1160	K00162
enccu_2934_1:ECU11_1540	K00844
enccu_2934_1:ECU11_0230	K01803
enccu_2934_1:ECU03_0680	K00850
enccu_2934_1:ECU10_0180	K01807
enccu_2934_1:ECU05_0320	K00927
enccu_2934_1:ECU05_0860	K00033
enccu_2934_1:ECU01_0240	K01623

### 01200	Carbon metabolism
enccu_2934_1:ECU06_1040	K01783
enccu_2934_1:ECU10_1690	K01689
enccu_2934_1:ECU09_0640	K00873
enccu_2934_1:ECU10_1060	K15633
enccu_2934_1:ECU07_0800	K00134
enccu_2934_1:ECU08_1850	K00036
enccu_2934_1:ECU01_0190	K00600
enccu_2934_1:ECU05_0650	K01810
enccu_2934_1:ECU09_1040	K00161
enccu_2934_1:ECU05_0310	K01895
enccu_2934_1:ECU04_0730	K01057
enccu_2934_1:ECU01_1420	K00600
enccu_2934_1:ECU04_1160	K00162
enccu_2934_1:ECU06_0120	K00615
enccu_2934_1:ECU11_1540	K00844
enccu_2934_1:ECU11_0230	K01803
enccu_2934_1:ECU03_0680	K00850
enccu_2934_1:ECU01_0240	K01623
enccu_2934_1:ECU05_0320	K00927
enccu_2934_1:ECU05_0860	K00033
