### 01100	Metabolic pathways
enche_5516_1:EHEL_070040	K03018
enche_5516_1:EHEL_051090	K02320
enche_5516_1:EHEL_110200	K03021
enche_5516_1:EHEL_091060	K05290
enche_5516_1:EHEL_071260	K00820
enche_5516_1:EHEL_031040	K02155
enche_5516_1:EHEL_101050	K02147
enche_5516_1:EHEL_060550	K03011
enche_5516_1:EHEL_091820	K02154
enche_5516_1:EHEL_070810	K03016
enche_5516_1:EHEL_101810	K11142
enche_5516_1:EHEL_050810	K00654
enche_5516_1:EHEL_011180	K03783
enche_5516_1:EHEL_060890	K07513
enche_5516_1:EHEL_070770	K00134
enche_5516_1:EHEL_050320	K01520
enche_5516_1:EHEL_100970	K18532
enche_5516_1:EHEL_050350	K01895
enche_5516_1:EHEL_011350	K00287
enche_5516_1:EHEL_051370	K00981
enche_5516_1:EHEL_101480	K01886
enche_5516_1:EHEL_060600	K00939
enche_5516_1:EHEL_030350	K03002
enche_5516_1:EHEL_041150	K00943
enche_5516_1:EHEL_030170	K03006
enche_5516_1:EHEL_090610	K00873
enche_5516_1:EHEL_010850	K00011
enche_5516_1:EHEL_101760	K00021
enche_5516_1:EHEL_010040	K00287
enche_5516_1:EHEL_091030	K00161
enche_5516_1:EHEL_101630	K00505
enche_5516_1:EHEL_110130	K00859
enche_5516_1:EHEL_100930	K10807
enche_5516_1:EHEL_051350	K18592
enche_5516_1:EHEL_060980	K01783
enche_5516_1:EHEL_011330	K00600
enche_5516_1:EHEL_060440	K01597
enche_5516_1:EHEL_110110	K01803
enche_5516_1:EHEL_060250	K03007
enche_5516_1:EHEL_080580	K02684
enche_5516_1:EHEL_070940	K03013
enche_5516_1:EHEL_021300	K01194
enche_5516_1:EHEL_111700	K00787
enche_5516_1:EHEL_050360	K00927
enche_5516_1:EHEL_080730	K03012
enche_5516_1:EHEL_081320	K03000
enche_5516_1:EHEL_030230	K00889
enche_5516_1:EHEL_101090	K02321
enche_5516_1:EHEL_010880	K00999
enche_5516_1:EHEL_101070	K15633
enche_5516_1:EHEL_030190	K02151
enche_5516_1:EHEL_051320	K02685
enche_5516_1:EHEL_090740	K02328
enche_5516_1:EHEL_030590	K00850
enche_5516_1:EHEL_091480	K03857
enche_5516_1:EHEL_050950	K01519
enche_5516_1:EHEL_010470	K03027
enche_5516_1:EHEL_110950	K04708
enche_5516_1:EHEL_100240	K03010
enche_5516_1:EHEL_060680	K10808
enche_5516_1:EHEL_031180	K00945
enche_5516_1:EHEL_100160	K01807
enche_5516_1:EHEL_040640	K01057
enche_5516_1:EHEL_091120	K07542
enche_5516_1:EHEL_021140	K01885
enche_5516_1:EHEL_050080	K13939
enche_5516_1:EHEL_050370	K02325
enche_5516_1:EHEL_110490	K00993
enche_5516_1:EHEL_100900	K01897
enche_5516_1:EHEL_010670	K00697
enche_5516_1:EHEL_081490	K02146
enche_5516_1:EHEL_030160	K00963
enche_5516_1:EHEL_041110	K01519
enche_5516_1:EHEL_031160	K03859
enche_5516_1:EHEL_100200	K03025
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_081790	K00036
enche_5516_1:EHEL_030400	K03019
enche_5516_1:EHEL_030410	K02148
enche_5516_1:EHEL_020770	K00654
enche_5516_1:EHEL_041090	K00162
enche_5516_1:EHEL_100110	K02149
enche_5516_1:EHEL_100920	K01897
enche_5516_1:EHEL_071040	K00858
enche_5516_1:EHEL_010100	K01623
enche_5516_1:EHEL_090040	K05283
enche_5516_1:EHEL_080240	K03014
enche_5516_1:EHEL_030370	K11121
enche_5516_1:EHEL_111060	K01115
enche_5516_1:EHEL_061520	K00940
enche_5516_1:EHEL_071730	K03015
enche_5516_1:EHEL_061620	K01930
enche_5516_1:EHEL_111430	K00844
enche_5516_1:EHEL_111290	K03017
enche_5516_1:EHEL_010050	K00560
enche_5516_1:EHEL_110570	K00966
enche_5516_1:EHEL_050730	K01810
enche_5516_1:EHEL_091800	K00869
enche_5516_1:EHEL_110750	K00967
enche_5516_1:EHEL_050450	K02150
enche_5516_1:EHEL_060040	K00615
enche_5516_1:EHEL_080600	K03022
enche_5516_1:EHEL_031560	K14156
enche_5516_1:EHEL_071330	K02155
enche_5516_1:EHEL_050290	K17497
enche_5516_1:EHEL_030240	K15779
enche_5516_1:EHEL_081340	K04710
enche_5516_1:EHEL_060110	K03661
enche_5516_1:EHEL_101230	K02324
enche_5516_1:EHEL_011340	K00560
enche_5516_1:EHEL_100510	K01641
enche_5516_1:EHEL_110310	K00888
enche_5516_1:EHEL_111660	K04487
enche_5516_1:EHEL_100300	K11155
enche_5516_1:EHEL_110460	K03020
enche_5516_1:EHEL_040560	K17900
enche_5516_1:EHEL_041350	K02999
enche_5516_1:EHEL_100590	K00914
enche_5516_1:EHEL_110760	K01937
enche_5516_1:EHEL_050310	K03008
enche_5516_1:EHEL_050940	K00033
enche_5516_1:EHEL_110730	K00995
enche_5516_1:EHEL_011120	K00942
enche_5516_1:EHEL_020130	K15728
enche_5516_1:EHEL_080220	K03434
enche_5516_1:EHEL_020160	K01823
enche_5516_1:EHEL_040990	K00721
enche_5516_1:EHEL_110340	K01937
enche_5516_1:EHEL_111170	K02145
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_060370	K01520
enche_5516_1:EHEL_010610	K00857
enche_5516_1:EHEL_010060	K00600
enche_5516_1:EHEL_080170	K02144

### 01110	Biosynthesis of secondary metabolites
enche_5516_1:EHEL_110490	K00993
enche_5516_1:EHEL_021140	K01885
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_081790	K00036
enche_5516_1:EHEL_101460	K18693
enche_5516_1:EHEL_010100	K01623
enche_5516_1:EHEL_111060	K01115
enche_5516_1:EHEL_041090	K00162
enche_5516_1:EHEL_110570	K00966
enche_5516_1:EHEL_050730	K01810
enche_5516_1:EHEL_061520	K00940
enche_5516_1:EHEL_111430	K00844
enche_5516_1:EHEL_060040	K00615
enche_5516_1:EHEL_050290	K17497
enche_5516_1:EHEL_091800	K00869
enche_5516_1:EHEL_100510	K01641
enche_5516_1:EHEL_030240	K15779
enche_5516_1:EHEL_050940	K00033
enche_5516_1:EHEL_010060	K00600
enche_5516_1:EHEL_020130	K15728
enche_5516_1:EHEL_020160	K01823
enche_5516_1:EHEL_011180	K03783
enche_5516_1:EHEL_060890	K07513
enche_5516_1:EHEL_070770	K00134
enche_5516_1:EHEL_051370	K00981
enche_5516_1:EHEL_060600	K00939
enche_5516_1:EHEL_100970	K18532
enche_5516_1:EHEL_050350	K01895
enche_5516_1:EHEL_091030	K00161
enche_5516_1:EHEL_101760	K00021
enche_5516_1:EHEL_101630	K00505
enche_5516_1:EHEL_090610	K00873
enche_5516_1:EHEL_051560	K10703
enche_5516_1:EHEL_060440	K01597
enche_5516_1:EHEL_110110	K01803
enche_5516_1:EHEL_060980	K01783
enche_5516_1:EHEL_011330	K00600
enche_5516_1:EHEL_101070	K15633
enche_5516_1:EHEL_100880	K00111
enche_5516_1:EHEL_111700	K00787
enche_5516_1:EHEL_050360	K00927
enche_5516_1:EHEL_091920	K11778
enche_5516_1:EHEL_030590	K00850
enche_5516_1:EHEL_050300	K00006
enche_5516_1:EHEL_040640	K01057
enche_5516_1:EHEL_100160	K01807

### 01120	Microbial metabolism in diverse environments
enche_5516_1:EHEL_030240	K15779
enche_5516_1:EHEL_060040	K00615
enche_5516_1:EHEL_010060	K00600
enche_5516_1:EHEL_050940	K00033
enche_5516_1:EHEL_081790	K00036
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_050730	K01810
enche_5516_1:EHEL_111430	K00844
enche_5516_1:EHEL_010100	K01623
enche_5516_1:EHEL_041090	K00162
enche_5516_1:EHEL_101070	K15633
enche_5516_1:EHEL_050360	K00927
enche_5516_1:EHEL_110110	K01803
enche_5516_1:EHEL_011330	K00600
enche_5516_1:EHEL_060980	K01783
enche_5516_1:EHEL_040640	K01057
enche_5516_1:EHEL_100160	K01807
enche_5516_1:EHEL_030590	K00850
enche_5516_1:EHEL_070770	K00134
enche_5516_1:EHEL_060890	K07513
enche_5516_1:EHEL_091030	K00161
enche_5516_1:EHEL_090610	K00873
enche_5516_1:EHEL_050350	K01895

### 01200	Carbon metabolism
enche_5516_1:EHEL_011330	K00600
enche_5516_1:EHEL_060980	K01783
enche_5516_1:EHEL_110110	K01803
enche_5516_1:EHEL_050360	K00927
enche_5516_1:EHEL_101070	K15633
enche_5516_1:EHEL_030590	K00850
enche_5516_1:EHEL_100160	K01807
enche_5516_1:EHEL_040640	K01057
enche_5516_1:EHEL_070770	K00134
enche_5516_1:EHEL_050350	K01895
enche_5516_1:EHEL_090610	K00873
enche_5516_1:EHEL_091030	K00161
enche_5516_1:EHEL_060040	K00615
enche_5516_1:EHEL_050940	K00033
enche_5516_1:EHEL_010060	K00600
enche_5516_1:EHEL_081790	K00036
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_041090	K00162
enche_5516_1:EHEL_010100	K01623
enche_5516_1:EHEL_111430	K00844
